,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,train,train
39,corps,body
40,endroit,place
41,façon,way
42,écoute,listen
43,dont,whose
44,trouve,find
45,premier,first
46,perdu,lost
47,main,hand
48,première,first
49,côté,side
50,vieux,old
51,sois,be
52,tellement,so much
53,enfant,child
54,point,point
55,venu,came
56,suite,after
57,pardon,sorry
58,venez,come
59,devant,in front of
60,vers,towards
61,minutes,minutes
62,demandé,request
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
67,aujourd'hui,today
68,mari,husband
69,cause,cause
70,enfin,finally
71,espère,hope
72,eau,water
73,attendez,Wait
74,parti,left
75,nouvelle,new
76,boulot,job
77,arrêter,Stop
78,dirait,would say
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,jouer,to play
91,bureau,office
